Input (Poem),Label (Limerick or Non-Limerick),Reasoning
"If the Limerick's cocktail you 'd quaff,
Stir nonsense with wit, each a half,
Add a dash of good fun,
Drop in a pun-
And then make a noise like a laugh.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A book with some verses, a bough,
A wilderness, wine-jug, and Thou
Would be Heaven to me;
But what about Thee?
The inducements seem not quite enow.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A canner exceedingly canny,
One morning remarked to his granny:
""A canner can can
Anything that he can;
But a canner can't can a can, can he?''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A clever young architect once
Thought he'd do some original stunts;
And he got so uplifted
His buildings all shifted
Their backs clear around to their fronts.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A daughter of fair Ioway
While at sport in the surges one day
Swallowed some of the sea;
""And hereafter,"" said she,
""I'll go out on the prairie to play.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A dreadful example 's before us,
For there was a sweet thing in the chorus
Whose feeling for wine
Was so hearty and fine
That her dude used to think she was porous.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A gay young Bavarian Gustel,
When he sees anything with a bustel,
Puts a flower on his chest
And does his best best
To do what the Yankees call hustel.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A girl in Bad Axe, Michigan,
Goes to motor whenever she can;
And when she cannot
She sits still in one spot
And wishes that she were a man.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A girl of as graceful a mien
As ever in Broadway was seen
Stepped over the curb
In a pleasant suburb,
And her ankles were awfully lean.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A girl who went climbing a fence
Was scratched getting hither from thence,
And cried, ""Ah, sad lot
That found me that spot!
Why did I go thither from hence?''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A husband in pretty Podunk
Has a wife whom he loved a whole hunk;
""She has only one fault,""
He would brag o'er his malt,
""She will swear, at times, when she 's drunk.''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A lady with money to fry
Found her church-seats once occupied by
Some strangers. Said she,
With complete dignitee,
""Who are these occupewing my pie?''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A landlord whose boarders were cliquy
And most of whose bedrooms were liquey
Met every complaint
With the answer, ""They ain't!''
And thought them both friquy and chiquy.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A lively young girl of Kiushiu
Fell over a potful of gliu;
When she would have arose
She was stuck on her clothes,
And some had got into her shiu.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A maiden who worked with a bellows
Had lovers; so she used to tellows;
When asked what to do
To keep her swains true,
She simply said, ""Make 'em all jellows.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A man from the North they call Billy
Took a mouthful of good Texas chile.
""If that gives them a chill,
Red Hades,'' sobbed Bill,
""Will freeze the whole lot of 'em silly.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A man once took so much quinine
That he grew far too thin to buisine,
But a doctor from Chiswick
Gave him ten kinds of phiswick
And soon braced him up all suirine.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A man who is lacking in pride
Goes to funerals far, near, and wide;
When they ask, ""Who is dead?''
He shakes his old head:
''I dunno-I just come for the ride.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A man who lisped said to me: ""Wunth
I wath told that there 'th no rhyme for 'month.'
I heard him thay tho,
But the chap did n't know
I think he wath simply a dunth.''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A man who lived up on the D
Remarked that he never could C
Any good reason Y
A yellow cat's I
So much larger at midnight should B.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A merchant in dear old Duquesne
Once filled himself full of champesne;
And they pumped on his head
Till the old fellow sead,
""I have water, I fear, on the bresne.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A modest young girl named Louisa
Would never allow one to squisa;
One never must touch
Or look at her mouch
It was easy for one to displisa.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A musical miss of St. Joaquin
Kept up such a terrible sqoaquin,
Her folks set her afloat
Near a fog-horn of note
Just to keep the good neighbors from toaquin.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An amorous M. A.
Says that Cupid, the C. D.,
Does n't cast for his health
But is rolling in wealth;
He's the John JacoB. H.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"And there was dear little Miss Sweet—
It's a story I hate to repeat
But 't would give you a fright
Almost any old night
To see what that small girl could eat!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An elderly fowl was once smitten
With love for a tortoise-shell kitten.
And the poultry she knew,
Said, on finding it true,
""It 's unhenly, as well as unfittin'.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An elderly spinster in Worcester
Had got so that everything forcester,
When an ancient admirer
Came along to desire her;
And now she can smile as she yorcester.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A nice little girl they called Phoebe
Used to think of herself as a Hebe;
And the fellows she knew
Used to think of her, too,
Saying, ""If any girl can be, she be.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An inhabitant of old Missouri
Finds it more than he ought to endure.
Hears from ocean to sea
Not a thing but ""Show me!""
It 's so true he gets madder than fury.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An old man with little to do
At home found himself in a stew;
He was hit with a squash
And the coming week's wash;
Though his wants were exceedingly few.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"An opulent man named McLeod
Who in dress was exceedingly preod,
At half a block off
Set the people to coff,
And was used for dispersing a creod.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A patient young husband named Ayre
Heard below his young wife's plaintive prayer:
""Slip on something quick
And come down. I feel sick.""
So he slipped on the very top stair.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A party from Boston named Faneuil
Went sailing, and sat on the ganeuil
Of a sea-going yacht,
But it yawed, and he thacht
He preferred a dry lager beer taneuil.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A plain but sincere Esquimaux
Grew weary of ice and much snaux,
So he put up a sail
And went on with the gale
Till he reached latitude fauxty-faux.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A pleasant young fellow named Seixas
Was thought to be rather audeixas
Till he saw a white post
Which he took for a gost
And ran away, screaming ""Good Greixas!''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A pretty girl sat on a quay,
Just as proper as proper could buay;
When a bold grenadier
Kissed her right on the ear.
She thanked him, and went home to tuay.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A priest, while incensing with myrrh,
By chance dropped a spark on some fyrrh,
And the odor that rose
Made him stop up his nose-
But beyond that he did not demyrrh.",Limerick,"5 Lines, AABBA Rhyme Scheme"
